,station_name,lat,lon
4522, '长沙火车南站', '28.15244', '113.071257'
4523, '杜花路', '28.152466', '113.062923'
4524, '沙湾公园', '28.163977', '113.050943'
4525, '长沙大道', '28.174571', '113.050866'
4526, '人民东路', '28.190618', '113.045145'
4527, '万家丽广场', '28.197832', '113.03682'
4528, '锦泰广场', '28.198147', '113.024395'
4529, '长沙火车站', '28.199702', '113.017355'
4530, '袁家岭', '28.200278', '113.007348'
4531, '迎宾路口', '28.200532', '112.998498'
4532, '芙蓉广场', '28.200609', '112.990715'
4533, '五一广场', '28.20098', '112.982965'
4534, '湘江中路', '28.200844', '112.975848'
4535, '橘子洲', '28.20109', '112.968932'
4536, '溁湾镇', '28.203578', '112.957829'
4537, '西湖公园', '28.208728', '112.946581'
4538, '金星路', '28.212296', '112.935037'
4539, '望城坡', '28.213735', '112.920419'
4540, '梅溪湖东', '28.207645', '112.91459'
4541, '文化艺术中心', '28.202815', '112.906975'
4542, '麓云路', '28.196796', '112.898805'
4543, '梅溪湖西', '28.191411', '112.888192'
4544, '尚双塘', '28.068358', '112.998775'
4545, '中信广场', '28.079514', '112.99625'
4546, '大托', '28.08838', '112.995823'
4547, '桂花坪', '28.104856', '112.994948'
4548, '省政府', '28.116788', '112.994094'
4549, '友谊路', '28.130001', '112.993456'
4550, '铁道学院', '28.14178', '112.993968'
4551, '涂家冲', '28.159146', '112.991219'
4552, '黄土岭', '28.165866', '112.992208'
4553, '南湖路', '28.171698', '112.992335'
4554, '侯家塘', '28.17947', '112.988453'
4555, '南门口', '28.189214', '112.982623'
4556, '黄兴广场', '28.194936', '112.982974'
4557, '五一广场', '28.20098', '112.982965'
4558, '培元桥', '28.21192', '112.983134'
4559, '文昌阁', '28.219082', '112.984896'
4560, '开福寺', '28.228121', '112.985892'
4561, '北辰三角洲', '28.241574', '112.990357'
4562, '马厂', '28.256779', '112.995326'
4563, '开福区政府', '28.267593', '112.991966'
4564, '木里', '31.188816', '120.585117'
4565, '苏州湾北', '31.190135', '120.601205'
4566, '天鹅荡路', '31.197146', '120.606839'
4567, '文溪路', '31.209731', '120.602719'
4568, '越溪', '31.222102', '120.60293'
4569, '石湖莫舍', '31.230802', '120.610045'
4570, '蠡墅', '31.236452', '120.628062'
4571, '红庄', '31.242435', '120.635171'
4572, '同里', '31.143601', '120.706479'
4573, '庞金路', '31.143228', '120.685844'
4574, '吴江汽车站', '31.142704', '120.669683'
4575, '吴江人民广场', '31.138861', '120.650068'
4576, '松陵大道', '31.137519', '120.63032'
4577, '苏州湾东', '31.142795', '120.622119'
4578, '顾家荡', '31.151829', '120.621014'
4579, '笠泽路', '31.160906', '120.622343'
4580, '流虹路', '31.168762', '120.62546'
4581, '江兴西路', '31.175453', '120.638983'
4582, '江陵西路', '31.183864', '120.646361'
4583, '花港', '31.20943', '120.639488'
4584, '清树湾', '31.227144', '120.639141'
4585, '红庄', '31.242435', '120.635171'
4586, '石湖东路', '31.25893', '120.636146'
4587, '宝带路', '31.273127', '120.635091'
4588, '团结桥', '31.282509', '120.633625'
4589, '人民桥南', '31.290432', '120.632125'
4590, '南门', '31.297807', '120.631057'
4591, '三元坊', '31.304027', '120.63004'
4592, '乐桥', '31.31249', '120.628774'
4593, '察院场', '31.317579', '120.627681'
4594, '北寺塔', '31.327014', '120.625988'
4595, '苏州火车站', '31.3364', '120.617057'
4596, '苏锦', '31.342743', '120.611576'
4597, '平泷路西', '31.350248', '120.609244'
4598, '孙武纪念园', '31.368325', '120.609489'
4599, '活力岛', '31.380688', '120.606641'
4600, '姚祥', '31.39625', '120.604723'
4601, '张庄', '31.403822', '120.604162'
4602, '龙道浜', '31.409347', '120.611294'
4603, '红庄', '31.242435', '120.635171'
4604, '蠡墅', '31.236452', '120.628062'
4605, '石湖莫舍', '31.230802', '120.610045'
4606, '越溪', '31.222102', '120.60293'
4607, '文溪路', '31.209731', '120.602719'
4608, '天鹅荡路', '31.197146', '120.606839'
4609, '苏州湾北', '31.190135', '120.601205'
4610, '木里', '31.188816', '120.585117'
4611, '花桥', '31.304845', '121.110706'
4612, '光明路', '31.302141', '121.123997'
4613, '兆丰路', '31.294667', '121.15683'
4614, '安亭', '31.294335', '121.168602'
4615, '上海汽车城', '31.291581', '121.18725'
4616, '昌吉东路', '31.29994', '121.206771'
4617, '上海赛车场', '31.337944', '121.232625'
4618, '嘉定新城', '31.335744', '121.26104'
4619, '马陆', '31.325402', '121.28343'
4620, '南翔', '31.303357', '121.329747'
4621, '桃浦新村', '31.287647', '121.355937'
4622, '武威路', '31.282825', '121.371318'
4623, '祁连山路', '31.277205', '121.382499'
4624, '李子园', '31.274628', '121.396533'
4625, '上海西站', '31.268542', '121.40794'
4626, '真如', '31.256497', '121.413834'
4627, '枫桥路', '31.248068', '121.41754'
4628, '曹杨路', '31.244796', '121.424224'
4629, '隆德路', '31.236733', '121.430026'
